DrugCode|Name|Formulation|Strength|Count|L1Rate|L1Lab
MED1784|Avagard Foam Instant Hand Antiseptic With Moisturizers|Tablet|100mg|92|805.33|MED1784
MED1785|Avagard Lotion|Lotion|100mg|50|448.00|MED1785
MED1786|Avagard Lotion Instant Hand Antiseptic With Moisturizers|Lotion|100mg|39|421.93|MED1786
MED1787|Avage|Tablet|100mg|38|851.52|MED1787
MED1788|Avalglucosidase Alfa-ngpt for Injection|Injection|100mg|16|191.59|MED1788
MED1789|Avalide|Tablet|100mg|88|482.13|MED1789
MED1790|Avanafil|Tablet|100mg|66|682.41|MED1790
MED1791|Avandamet|Tablet|100mg|26|963.94|MED1791
MED1792|Avandaryl|Tablet|100mg|60|668.76|MED1792
MED1793|Avandia|Tablet|100mg|14|912.79|MED1793
MED1794|Avapritinib Tablets|Tablet|100mg|64|343.10|MED1794
MED1795|Avapro|Tablet|100mg|41|244.56|MED1795
MED1796|Avastin|Tablet|100mg|35|890.47|MED1796
MED1797|Avatrombopag Tablets|Tablet|100mg|88|871.66|MED1797
MED1798|Aveed|Injection|100mg|32|788.00|MED1798
MED1799|Avelox|Tablet|100mg|74|298.25|MED1799
MED1800|Avelumab Injection|Injection|100mg|70|331.98|MED1800
MED1801|Aviane|Tablet|100mg|17|326.86|MED1801
MED1802|Avinza|Tablet|100mg|75|156.35|MED1802
MED1803|Avita|Tablet|100mg|64|241.66|MED1803
MED1804|Avita Cream|Cream|100mg|71|682.89|MED1804
MED1805|Avodart|Tablet|100mg|14|551.68|MED1805
MED1806|Avonex|Tablet|100mg|13|750.99|MED1806
MED1807|Avsola|Injection|100mg|22|331.67|MED1807
MED1808|Avycaz|Injection|100mg|93|103.44|MED1808
MED1809|Avzivi|Injection|100mg|43|700.21|MED1809
MED1810|Axatilimab-csfr Injection|Injection|100mg|41|749.06|MED1810
MED1811|Axert|Tablet|100mg|70|835.94|MED1811
MED1812|Axicabtagene Ciloleucel Suspension for Intravenous Infusion|Suspension|100mg|45|640.24|MED1812
MED1813|Axid|Tablet|100mg|65|389.32|MED1813
MED1814|Axid Oral Solution|Solution|100mg|15|707.39|MED1814
MED1815|Axiron|Solution|100mg|13|679.04|MED1815
MED1816|Axitinib|Tablet|100mg|63|867.15|MED1816
MED1817|Axona|Tablet|100mg|68|658.08|MED1817
MED1818|Axumin|Injection|100mg|91|230.02|MED1818
MED1819|Aygestin|Tablet|100mg|79|160.94|MED1819
MED1820|Ayuna Tablets|Tablet|100mg|40|284.61|MED1820
MED1821|Ayvakit|Tablet|100mg|70|593.82|MED1821
MED1822|Azacitidine|Tablet|100mg|91|452.05|MED1822
MED1823|Azacitidine Tablets|Tablet|100mg|81|819.92|MED1823
MED1824|Azactam Injection|Injection|100mg|20|386.79|MED1824
MED1825|Azasan|Tablet|100mg|21|701.22|MED1825
MED1826|Azasite|Solution|100mg|30|952.64|MED1826
MED1827|Azathioprine|Tablet|100mg|30|827.61|MED1827
MED1828|azathioprine|Tablet|100mg|45|185.20|MED1828
MED1829|Azedra|Injection|100mg|44|408.30|MED1829
MED1830|Azelaic Acid|Tablet|100mg|10|570.68|MED1830
MED1831|Azelaic Acid Cream|Cream|100mg|92|923.10|MED1831
MED1832|Azelaic Acid Foam|Tablet|100mg|56|523.39|MED1832
MED1833|Azelastine Hydrochloride|Tablet|100mg|97|530.54|MED1833
MED1834|Azelastine hydrochloride|Tablet|100mg|90|438.06|MED1834
MED1835|Azelastine Hydrochloride and Fluticasone Propionate|Tablet|100mg|74|412.05|MED1835
MED1836|Azelastine Hydrochloride and Fluticasone Propionate|Tablet|100mg|53|224.44|MED1836
MED1837|Azelastine Hydrochloride Nasal Spray|Tablet|100mg|79|880.64|MED1837
MED1838|Azelastine Nasal Solution|Solution|100mg|90|320.41|MED1838
MED1839|Azelastine Nasal Spray|Solution|100mg|82|485.52|MED1839
MED1840|Azelex|Cream|100mg|96|423.61|MED1840
MED1841|Azilect|Tablet|100mg|95|309.89|MED1841
MED1842|azilsartan medoxomil|Tablet|100mg|61|394.05|MED1842
MED1843|Azilsartan Medoxomil and Chlorthalidone Tablets|Tablet|100mg|52|913.00|MED1843
MED1844|Azithromycin|Injection|100mg|74|364.58|MED1844
MED1845|Azithromycin|Tablet|100mg|80|585.61|MED1845
MED1846|Azithromycin|Tablet|100mg|49|240.63|MED1846
MED1847|Azithromycin Ophthalmic Solution|Solution|100mg|84|931.06|MED1847
MED1848|Azmacort|Tablet|100mg|10|663.97|MED1848
MED1849|Azopt|Suspension|100mg|87|833.68|MED1849
MED1850|Azor|Tablet|100mg|97|660.93|MED1850
MED1851|Azstarys|Capsule|100mg|81|583.99|MED1851
MED1852|Aztreonam for Inhalation Solution|Solution|100mg|94|998.83|MED1852
MED1853|Aztreonam Injection|Injection|100mg|10|978.21|MED1853
MED1854|Azulfidine EN-Tabs|Tablet|100mg|86|930.21|MED1854
MED1855|Azulfidine EN-tabs|Tablet|100mg|64|881.85|MED1855
MED1856|Azurette|Tablet|100mg|60|235.66|MED1856
MED1859|Dictionary|Tablet|100mg|68|773.06|MED1859
MED1861|Sponsor Policy|Tablet|100mg|22|668.77|MED1861
